,Season,Episode Number,Episode Name,Air Date,IMDb Rating,Votes
0,S1,E1 ,Rose,,7.5,
1,S1,E2 ,The End of the World,,7.5,9.9K
2,S1,E3 ,The Unquiet Dead,,7.4,9.3K
3,S1,E4 ,Aliens of London,,6.9,9K
4,S1,E5 ,World War Three,,6.9,8.7K
5,S1,E6 ,Dalek,,8.6,9.9K
6,S1,E7 ,The Long Game,,7.0,8.5K
7,S1,E8 ,Father's Day,,8.3,9.4K
8,S1,E9 ,The Empty Child,,9.0,11K
9,S1,E10 ,The Doctor Dances,,9.0,10K
10,S1,E11 ,Boom Town,,7.1,8.2K
11,S1,E12 ,Bad Wolf,,8.6,9.2K
12,S1,E13 ,The Parting of the Ways,,9.0,9.8K
13,S2,E0 ,The Christmas Invasion,,8.0,9.2K
14,S2,E1 ,New Earth,,7.3,8.6K
15,S2,E2 ,Tooth and Claw,,7.6,8.6K
16,S2,E3 ,School Reunion,,8.2,9.1K
17,S2,E4 ,The Girl in the Fireplace,,9.2,14K
18,S2,E5 ,Rise of the Cybermen,,7.7,8.1K
19,S2,E6 ,The Age of Steel,,7.8,8K
20,S2,E7 ,The Idiot's Lantern,,6.7,8.2K
21,S2,E8 ,The Impossible Planet,,8.6,9.2K
22,S2,E9 ,The,,8.7,9.4K
23,S2,E10 ,Love &,,6.1,9.4K
24,S2,E11 ,Fear Her,,5.8,8.4K
25,S2,E12 ,Army of Ghosts,,8.4,8.3K
26,S2,E13 ,Doomsday,,9.2,11K
27,S3,E0 ,The Runaway Bride,,7.6,8.6K
28,S3,E1 ,Smith and Jones,,7.9,8.3K
29,S3,E2 ,The Shakespeare Code,,7.5,8.3K
30,S3,E3 ,Gridlock,,8.0,8.5K
31,S3,E4 ,Daleks in Manhattan,,7.0,7.8K
32,S3,E5 ,Evolution of the Daleks,,6.9,7.8K
33,S3,E6 ,The Lazarus Experiment,,6.5,7.8K
34,S3,E7 ,42,,7.2,7.6K
35,S3,E8 ,Human Nature,,8.9,9.7K
36,S3,E9 ,The Family of Blood,,9.2,11K
37,S3,E10 ,Blink,,9.8,25K
38,S3,E11 ,Utopia,,8.7,8.7K
39,S3,E12 ,The Sound of Drums,,8.7,8.7K
40,S3,E13 ,Last of the Time Lords,,8.3,9K
41,S4,E0 ,Voyage of the Damned,,7.6,8.5K
42,S4,E1 ,Partners in Crime,,7.7,8.2K
43,S4,E2 ,The Fires of Pompeii,,8.0,8.4K
44,S4,E3 ,Planet of the Ood,,8.0,8K
45,S4,E4 ,The Sontaran Stratagem,,7.4,7.3K
46,S4,E5 ,The Poison Sky,,7.5,7.2K
47,S4,E6 ,The Doctor's Daughter,,7.5,8K
48,S4,E7 ,The Unicorn and the Wasp,,7.7,7.9K
49,S4,E8 ,Silence in the Library,,9.3,12K
50,S4,E9 ,Forest of the Dead,,9.4,12K
51,S4,E10 ,Midnight,,9.1,11K
52,S4,E11 ,Turn Left,,8.9,9.2K
53,S4,E12 ,The Stolen Earth,,9.1,9K
54,S4,E13 ,Journey's End,,9.2,10K
55,S5,E1 ,The Eleventh Hour,,8.7,10K
56,S5,E2 ,The Beast Below,,7.6,8K
57,S5,E3 ,Victory of the Daleks,,6.6,7.7K
58,S5,E4 ,The Time of Angels,,8.6,8.7K
59,S5,E5 ,Flesh and Stone,,8.5,8.1K
60,S5,E6 ,The Vampires of Venice,,6.9,7.5K
61,S5,E7 ,Amy's Choice,,8.1,7.9K
62,S5,E8 ,The Hungry Earth,,7.1,7K
63,S5,E9 ,Cold Blood,,7.3,7K
64,S5,E10 ,Vincent and the Doctor,,9.3,14K
65,S5,E11 ,The Lodger,,8.0,7.8K
66,S5,E12 ,The Pandorica Opens,,9.0,8.8K
